33779	운영 경험·강의 공지	대행가치·기획·실행	블로그 실행을 넘어 고객의 문제 발견·기획을 서비스로 제공하려는 전환. 수의원 고객 흐름 등 원문의 설계 예시와 향후 강의 계획을 실제 성과와 구분한다.
33606	수강생 질문·본인 경험	고객응대·수정·기대관리	순위 보장과 글 개수 납품 기대가 수정 요구에 미치는 영향. 대행사의 역할과 작성 이유를 계약 전후에 설명하는 장면에 활용한다.
33602	대행 경험·인터뷰	업종진단·구매관여도·CRM	학원 블로그 경험에서 적합 업종을 확장한 이야기. 매체부터 정하기 전에 구매 과정과 업종 조건을 진단하는 논리로 활용한다. 인터뷰 회사 매출은 본인 매출이 아니다.
33590	타인 인터뷰·해석	온라인오프라인·후기·유통	축산업체 인터뷰에서 오프라인 경험과 온라인 판매의 연결을 검토한다. 인터뷰 수치는 그 회사의 당시 진술이며 이세란의 대행 성과로 바꾸지 않는다.
33579	타인 인터뷰·대행 경험	브랜딩·업종차이·콘텐츠	음식점의 시각적 차별화와 보청기처럼 다른 업종의 콘텐츠 조건을 비교할 때 참고한다. 제목의 매출은 인터뷰 대상 회사의 수치다.
33523	직접 경험	수용능력·지속마케팅·문의	학원 정원이 찼을 때 마케팅 중단을 요청받은 일과 본인 대행 업무가 몰려 마케팅을 쉰 일을 연결한다. 문의 확보와 실제 감당 가능한 운영량을 함께 판단하는 사례다.
33482	직접 경험·고민 중	의사결정자·업무범위·고객적합성	포트폴리오를 보고 의뢰한 사람과 실제 운영자의 기대가 다른 상황. 실행 권한과 역할을 맞추는 문제이며 계약 포기 여부는 미확정이다.
33476	직접 경험·고민 중	고액계약·실행권한·책임	큰 계약에서 실행 자유와 결과 책임이 어긋난 고민. 제목만으로 계약 상실을 확정하지 않고 당시 진행 상태를 유지한다.
33419	예측·의견	AI·매체변화·대행전략	당시 예상한 2026년 변화와 준비 방향을 보관한다. 지금 확인된 시장 사실이나 성과의 증거로 쓰려면 별도 검증한다.
33407	고객사 미팅·설계안	고관여·잠재고객·출시전마케팅	실버타운 오픈 전 관심 고객을 모으고 유지하는 설계. 일정과 아이디어는 당시 계획이며 실행 후 성과로 바꾸지 않는다.
33397	특강 정리	고객규모·진단·응대	고객사 규모에 따라 필요한 설명과 문제 진단이 달라지는 관점. AI로 정리된 기록임을 유지하고 링크 미리보기 속 화자를 혼동하지 않는다.
33377	직접 경험·고민	고객신념·전략합의	자기 업종을 잘 아는 고객과 마케팅 판단이 다를 때의 어려움. 합의가 끝난 성공 사례로 꾸미지 않는다.
33375	고객사 미팅	상품기획·프랜차이즈·진단	신메뉴를 홍보하는 방법에 앞서 무엇이 팔릴지 의논한 장면. 대행사가 판매 대상과 고객 문제까지 확인하는 이유에 활용한다.
33371	특강 경험·운영 고민	AI·인력·수행능력	기업 대표 대상 특강과 늘어난 수요를 처리할 실행 인력에 대한 고민. 고객 확보와 조직의 수행 능력을 함께 보는 자료다.
33039	특강 안내·방법론	사례축적·보고·재현조건	블로그나 인스타 상품명보다 어떤 조건에서 효과가 났는지 설명하는 관점. 조회수 증가와 고객사 매출 증가는 구분한다.
32665	대행 방법론	고객유지·보고·신뢰	결과 링크만 보내는 대신 진행 과정과 판단 이유를 전달하는 방식. 고객이 대행 업무의 가치를 이해하도록 보고하는 논리다.
32578	운영 근황·설문	고객적합성·콘텐츠기획	여러 계약 이후에도 새 고객마다 어려움이 있다는 근황과 주제 투표. 투표 선택지를 이미 해결한 사건으로 만들지 않는다.
32460	수강생 사례·본인 경험	문의·콘텐츠축적·수용능력	수강생의 문의 사례와 본인 문의량 조절 경험을 분리한다. 글 개수나 경과 일수를 모든 고객의 성과 조건으로 일반화하지 않는다.
32429	직접 경험·의견	팀·가치관·성장기간	돈이 벌리는 시점만 묻는 질문과 함께 일하는 사람의 가치관에 대한 생각. 계약 성과보다 조직 운영의 판단 자료로 활용한다.
32350	대행 경험·의견	설명·자신감·성과대기	효과가 바로 보이지 않을 때도 전략과 피드백을 설명하는 대행사의 태도. 본인이 제시한 문의·계약 수치는 당시 기록으로 한정한다.
32333	직접 경험	콘텐츠자산·장기문의	2020년 작성한 블로그에서 뒤늦게 문의가 온 장면. 콘텐츠가 남아 고객 접점을 만드는 경험으로 활용하되 영구 성과를 보장하지 않는다.
32315	직접 경험	퍼널·유튜브·홈페이지	새 채널과 사이트·모임을 연결해 문의 경로를 만든 기간. 본인의 실행 순서와 기간이며 누구나 같은 기간에 되는 공식이 아니다.
32213	운영 근황·화면 기록	문의·상담·업무량	들어온 문의와 진단·견적 미팅의 짧은 근황. 세부 조건은 첨부 화면을 확인한 뒤 사용한다.
32184	운영 근황·화면 기록	문의·마케팅흐름	구축한 경로에서 추가 문의가 들어왔다는 기록. 자동화라는 표현을 무노동·확정 수익으로 확장하지 않는다.
32179	수강생 사례	콘텐츠·문의전환·계약	과거 글에서 발생한 수강생 계약 사례. 입금된 계약과 진행 중 건을 구분하고 본인 대행 실적으로 바꾸지 않는다.
32034	문의 기록	문의·응대	16번째 문의로 남긴 짧은 글과 화면 자료. 문의 수를 계약 수나 매출로 바꾸지 않는다.
31955	문의 기록	문의·견적·계약진행	14·15번째 문의와 계약 준비의 진행 기록. 제안 금액·예상 금액과 확정 매출을 구분한다.
31827	문의 기록	문의·인력·수행능력	12·13번째 문의와 늘어난 업무를 처리할 팀에 대한 고민. 유입 증가 뒤 운영 병목을 설명할 때 참고한다.
31712	문의 기록	퍼널·문의·계약	초기 몇 달과 이후 주간 문의 흐름을 남긴 자료. 기간별 문의와 계약 수를 섞어 계산하지 않는다.
31246	운영 계획	커뮤니티·교육운영	당시 부퇴사 운영 방향과 계획. 실행이 완료된 사업 성과로 사용하지 않는다.
30632	직접 경험·행사 준비	팀·관계·커뮤니티	첫 MT 준비와 관계 형성의 기록. 고객 매출 사례보다 공동체 운영의 배경으로 활용한다.
30466	대행·교육 경험	콘텐츠축적·실행지원·운영개선	글 축적을 기다리기 어려운 고객과 수강생을 위해 강의·과제·카톡·챌린지를 고친 과정. 100개라는 수를 보장 공식으로 만들지 않는다.
30406	개인 일상	일·휴식·가치관	일요일 사무실과 가족을 떠올린 개인 기록. 고객사 사건으로 바꾸지 않고 일하는 태도 설명에 제한적으로 사용한다.
30321	직접 경험	대행사콘텐츠·문의·신뢰	대행 블로그에서 왜 자신을 선택할지 보여주는 과정. 사례·소통·결과를 어떻게 제시했는지 원문을 확인해 활용한다.
30196	방법론·의견	블로그·매체변화	당시 블로그 환경에 대한 판단과 시작 가능성을 설명한 글. 현재 알고리즘의 검증된 설명으로 단정하지 않는다.
30161	기사·화면 분석	블로그·클립·매체변화	네이버 실적 기사와 앱 화면을 보고 체류시간·광고 지면 변화를 해석한 글. 원문이 추측이라고 밝힌 부분을 확인된 플랫폼 의도로 바꾸지 않는다.
30128	직접 경험	콘텐츠제작·완성도	공개하기 전 영상 제작을 오래 고민한 장면. 개선 욕구가 제작과 실행을 지연시키는 경험으로 활용한다.
29840	직접 경험·진행 기록	채널목표·매출·조회수	새 채널을 조회수만이 아닌 사업 목적에 맞춰 운영한 기록. 예정된 수입을 실현 수입으로 바꾸지 않는다.
29303	강의 공지	준비·품질·교육운영	준비 상태에 맞춰 강의 진행을 조정한 기록. 교육상품 운영의 판단 자료이며 수강생 수익 보장이 아니다.
28838	사업 근황	간판업·팀·역할분담	시작한 간판업체의 1년 뒤 근황. 당시 팀 역할과 진행 내용을 보존하고 제목만으로 성과를 추정하지 않는다.
28655	교육 경험·방법론	행동변화·설득·실행	사람이 실제 행동을 바꾸게 돕는 방법에 대한 생각. 고객 행동을 설계하는 논리적 참고로 사용한다.
28572	의견	업무능력·관계·가치	일을 잘하는 능력과 관계의 역할을 논의할 때 참고한다. 몸값에 대한 표현을 실증된 수익 공식으로 사용하지 않는다.
27627	운영 계획	채널기획·성장	새 채널 준비 단계의 기록. 시작 전 의도와 실제 결과를 구분한다.
27006	학원 경험·성찰	학습·진단·개선	아이의 공부 방식에 대한 장면에서 단순 노력과 구체적 사고의 차이를 설명한다. 대행 고객 사건으로 치환하지 않는다.
26906	당시 실무 안내	계약·사업자·기록	계약서와 업무 기록 운영의 참고 자료. 세무·법률 설명은 당시 글이며 현재 기준 적용 전 재확인한다.
